Participant-ID;age;gender;ef1;ef2;ef3;ef4;ef5;ef6;ef7;ef8;ef9;ef10;ef11;ef12
155;38;männlich;3;3;3;4;3;4;1;4;3;4;4;3
156;21;weiblich;3;3;2;4;2;4;4;3;3;4;3;5
157;20;weiblich;5;2;3;5;5;5;3;5;5;3;5;5
158;26;männlich;4;3;2;4;1;4;3;5;3;1;3;4
159;22;weiblich;3;1;3;3;3;5;3;5;4;1;2;4
160;20;weiblich;4;4;5;4;3;4;3;4;5;4;4;5
161;20;weiblich;4;4;3;4;4;5;3;5;4;3;3;4
162;26;männlich;2;4;2;4;4;3;4;4;3;2;4;2
163;32;weiblich;4;4;3;4;4;4;4;4;4;4;4;4
164;25;männlich;4;3;3;4;3;3;4;3;3;1;3;4
165;25;weiblich;1;3;2;4;1;1;4;2;2;5;1;3
166;79;männlich;5;3;4;2;5;5;2;4;4;1;5;3
167;26;weiblich;3;4;4;3;2;4;3;4;4;1;1;5
168;26;weiblich;2;2;1;4;3;4;3;4;4;2;4;4
169;23;weiblich;4;4;3;4;4;4;3;4;4;4;3;4
170;23;weiblich;3;1;2;2;2;1;3;2;3;1;1;1
171;21;weiblich;1;1;2;2;2;2;1;4;2;4;2;2
172;24;männlich;2;3;1;2;2;2;2;2;4;3;4;2
173;24;männlich;3;3;2;2;3;4;2;4;2;4;3;2
174;24;weiblich;4;4;4;4;4;5;3;4;4;4;4;5
175;24;weiblich;4;4;2;4;3;4;4;5;1;3;5;5
176;26;männlich;4;1;1;1;5;1;5;1;5;1;1;1
177;30;weiblich;2;4;4;4;2;4;4;4;4;2;4;4
178;27;weiblich;4;2;1;4;2;4;4;2;4;4;5;4
179;19;weiblich;4;5;4;5;4;4;3;4;4;4;4;5
180;22;weiblich;3;4;4;4;5;4;5;4;5;4;4;4
181;30;männlich;4;4;2;3;4;5;2;4;2;4;5;4
182;22;weiblich;4;3;2;4;2;4;3;4;2;2;1;3
183;23;männlich;3;4;3;4;2;4;4;3;4;4;4;3
184;23;weiblich;4;4;3;4;1;4;4;4;4;2;4;4
185;24;weiblich;4;3;2;2;4;4;2;4;4;3;4;4
186;19;weiblich;3;4;3;2;3;2;2;4;3;2;4;4
187;20;weiblich;4;2;4;2;3;5;4;5;5;2;4;5
188;28;weiblich;4;2;2;4;4;4;3;4;4;4;5;5
189;24;weiblich;1;2;3;3;2;4;3;4;3;3;4;4
190;43;weiblich;5;5;1;5;3;5;4;5;4;5;5;5
191;21;weiblich;4;2;3;4;2;4;4;4;3;3;4;4
192;19;weiblich;2;4;4;4;4;3;4;2;4;4;3;4
193;21;weiblich;4;4;2;2;3;2;2;4;4;4;4;2
194;19;weiblich;4;3;3;4;4;4;4;4;3;4;4;4
195;22;weiblich;4;3;3;3;4;4;4;4;5;2;3;3
196;22;weiblich;4;5;3;4;1;4;4;4;4;4;2;5
197;19;weiblich;5;5;3;5;4;4;4;5;4;5;5;5
198;23;weiblich;2;4;2;4;4;3;2;4;3;5;4;4
199;29;männlich;4;4;2;2;2;3;2;3;2;3;4;4
200;21;männlich;3;2;2;3;2;2;4;2;2;1;3;4
201;22;weiblich;3;4;2;4;2;2;3;3;2;4;3;4
202;22;männlich;4;4;2;4;3;3;2;3;3;4;4;3
203;21;weiblich;4;4;3;1;1;3;2;2;3;5;3;3
204;19;weiblich;4;2;3;3;2;4;3;4;3;1;2;4
205;20;weiblich;4;4;2;4;4;4;4;4;4;4;4;5
206;20;weiblich;3;3;1;4;3;2;3;4;4;4;4;3
207;29;weiblich;3;2;3;4;2;3;2;3;3;5;5;3
208;27;weiblich;2;2;1;2;1;4;4;3;4;1;2;4
209;23;männlich;3;2;2;5;3;4;4;4;3;4;4;3
210;27;weiblich;4;4;2;4;1;4;2;5;4;4;5;5
211;26;männlich;3;2;1;3;2;4;3;4;3;1;2;4
212;18;männlich;4;2;1;3;4;4;4;4;4;2;3;4
213;25;weiblich;4;4;2;5;3;4;4;4;4;4;4;4
214;21;weiblich;3;2;4;5;3;4;3;4;5;4;3;5
215;20;weiblich;4;3;2;4;2;4;3;4;3;2;4;4
216;21;weiblich;4;5;3;4;3;4;4;4;4;5;5;5
217;25;weiblich;4;2;4;4;2;3;2;3;3;2;4;5
218;20;weiblich;4;4;2;4;4;4;3;4;3;2;4;4
219;19;weiblich;2;4;2;5;2;4;4;4;4;4;4;5
220;25;weiblich;4;4;3;4;3;3;1;5;4;1;1;5
221;20;weiblich;4;2;3;3;3;4;3;4;4;2;3;4
222;26;männlich;3;4;2;4;4;4;3;3;4;3;2;4
223;22;weiblich;4;3;3;4;2;5;3;5;3;1;1;3
224;21;weiblich;2;2;2;1;3;3;3;4;2;2;4;2
225;23;männlich;2;3;1;3;2;2;3;3;2;4;1;2
226;26;weiblich;2;3;1;3;2;3;2;3;3;4;4;1
227;22;weiblich;2;3;3;4;2;3;2;3;2;3;5;4
228;19;weiblich;4;3;3;4;4;4;4;4;4;4;4;4
229;20;weiblich;3;4;3;3;2;3;3;3;2;4;5;3
230;19;weiblich;4;4;3;4;4;3;2;4;2;4;2;4
231;21;weiblich;4;4;2;4;2;4;4;4;2;4;5;4
232;19;weiblich;3;4;4;3;1;3;2;4;3;4;5;4
233;21;weiblich;5;2;1;5;5;5;5;5;5;2;3;4
234;21;männlich;2;2;1;2;2;3;2;4;2;2;2;2
235;30;weiblich;4;3;5;4;3;5;2;4;4;1;2;5
236;26;weiblich;4;1;4;5;5;5;4;4;4;1;5;5
237;23;weiblich;5;1;1;1;5;5;2;5;3;1;1;3
238;27;männlich;3;5;4;3;5;4;2;5;5;3;4;5
239;18;weiblich;3;4;2;1;5;4;4;3;2;2;5;4
240;22;weiblich;4;4;3;5;2;5;5;5;4;2;4;4
241;18;weiblich;5;5;3;5;3;4;2;4;5;5;5;5
242;19;weiblich;3;3;1;4;1;2;3;4;2;3;4;4
243;25;weiblich;4;4;4;4;4;4;4;4;2;1;4;4
244;22;männlich;3;4;4;4;2;3;3;4;4;2;4;3
245;28;weiblich;4;2;3;4;4;4;4;4;2;4;5;5
246;21;weiblich;4;3;2;4;4;4;4;5;3;3;3;5
247;19;weiblich;2;4;1;3;2;2;3;3;2;4;5;4
248;29;weiblich;4;5;3;4;5;2;2;2;3;5;3;5
249;31;weiblich;3;2;1;2;2;4;5;4;3;3;1;5
250;20;weiblich;4;5;4;4;4;4;5;5;3;4;4;5
251;24;männlich;4;5;2;3;4;2;5;3;4;5;4;5
252;34;männlich;3;5;2;3;5;5;5;5;5;4;4;5
253;22;weiblich;4;3;2;4;5;3;4;4;3;4;4;5
254;32;weiblich;4;2;3;5;3;4;2;4;4;2;3;3
255;20;männlich;4;2;1;4;3;4;2;3;3;2;4;3
256;27;weiblich;2;3;2;2;3;3;4;3;3;2;3;4
257;19;weiblich;5;4;4;5;4;5;4;5;4;4;4;5
258;20;weiblich;4;2;3;4;4;4;4;5;4;3;4;4
259;23;weiblich;5;2;3;4;4;4;3;4;5;2;2;5
260;31;weiblich;3;5;4;4;3;3;4;3;5;5;4;4
261;29;weiblich;4;2;1;3;2;4;4;5;5;2;5;4
262;19;weiblich;2;4;1;4;4;2;4;2;2;2;5;3
263;20;männlich;3;1;2;3;2;2;2;2;3;1;1;4
264;26;weiblich;2;4;4;3;2;2;4;3;4;2;2;5
265;20;weiblich;5;4;4;5;3;4;5;4;5;2;2;4
266;31;weiblich;2;1;3;3;2;2;2;2;2;2;2;1
267;19;weiblich;4;2;3;4;2;3;2;4;3;4;5;4
268;19;weiblich;4;2;3;5;4;5;4;5;4;2;4;5
269;31;männlich;2;3;3;5;1;2;3;3;2;5;3;2
270;20;weiblich;5;2;4;5;1;4;4;4;3;4;5;5
271;21;weiblich;2;3;2;2;4;4;4;3;2;4;4;3
272;19;weiblich;5;4;5;4;1;4;2;5;3;4;5;5
273;19;weiblich;4;4;4;4;2;3;3;4;2;2;3;3
274;20;weiblich;4;1;2;2;3;4;2;4;2;2;2;1
275;22;weiblich;4;2;1;4;2;4;4;5;3;4;4;4
276;20;weiblich;4;3;5;4;2;3;4;4;4;5;4;4
277;19;keine Angabe;4;1;3;5;3;5;1;4;4;1;2;5
278;21;weiblich;4;2;5;2;3;4;4;4;2;1;2;4
279;18;weiblich;3;4;4;4;2;5;4;5;4;2;2;4
280;18;weiblich;2;3;4;3;4;3;5;4;3;4;3;4
281;19;männlich;4;1;3;4;4;3;2;4;2;4;5;3
